,Date,Close/Last,Volume,Open,High,Low,SameDay_Binary,PreviousDay_Binary,SameDay_Percentage,PreviousDay_Percentage
0,2021-04-07,249.9,22719840.0,247.81,250.93,247.19,1,0,1,-1
1,2021-04-08,253.25,23625200.0,252.77,254.139,252.0,1,1,0,1
2,2021-04-09,255.85,24326830.0,252.87,255.99,252.44,1,1,1,1
3,2021-04-10,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,1
4,2021-04-11,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
5,2021-04-12,255.91,27148670.0,254.71,257.67,254.62,1,1,0,0
6,2021-04-13,258.49,23837470.0,257.257,259.19,256.83,1,1,0,1
7,2021-04-14,255.59,23070940.0,257.475,258.83,255.16,0,0,-1,-1
8,2021-04-15,259.5,25627480.0,257.931,259.93,257.73,1,1,1,1
9,2021-04-16,260.74,24878580.0,259.47,261.0,257.6014,1,1,0,1
10,2021-04-17,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
11,2021-04-18,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
12,2021-04-19,258.74,23209260.0,260.19,261.48,257.821,0,1,-1,1
13,2021-04-20,258.26,19722880.0,257.82,260.2,256.84,1,0,0,-1
14,2021-04-21,260.58,24030380.0,258.94,260.68,257.25,1,1,1,1
15,2021-04-22,257.17,25606150.0,260.21,261.78,255.64,0,0,-1,-1
16,2021-04-23,261.15,21499290.0,257.88,261.51,257.27,1,1,1,0
17,2021-04-24,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
18,2021-04-25,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
19,2021-04-26,261.55,19763350.0,261.66,262.435,260.17,0,1,0,1
20,2021-04-27,261.97,31014210.0,261.585,263.19,260.12,1,1,0,0
21,2021-04-28,254.56,46903120.0,256.078,256.5399,252.95,0,0,-1,-1
22,2021-04-29,252.51,40589020.0,255.46,256.1,249.0,0,0,-1,-1
23,2021-04-30,252.18,30945100.0,249.74,253.08,249.6,1,0,1,-1
24,2021-05-01,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
25,2021-05-02,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
26,2021-05-03,251.86,19626570.0,253.4,254.35,251.12,0,0,-1,-1
27,2021-05-04,247.79,32756050.0,250.97,251.21,245.76,0,0,-1,-1
28,2021-05-05,246.47,21901330.0,249.06,249.5,245.82,0,0,-1,-1
29,2021-05-06,249.73,26491090.0,246.45,249.86,244.69,1,1,1,0
30,2021-05-07,252.46,27032910.0,252.15,254.3,251.17,1,1,0,1
31,2021-05-08,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
32,2021-05-09,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
33,2021-05-10,247.18,29299890.0,250.87,251.73,247.12,0,0,-1,-1
34,2021-05-11,246.23,33641590.0,244.55,246.6,242.57,1,0,1,-1
35,2021-05-12,239.0,36684370.0,242.165,244.38,238.07,0,0,-1,-1
36,2021-05-13,243.03,29624300.0,241.8,245.6,241.42,1,1,1,0
37,2021-05-14,248.15,23901080.0,245.575,249.18,245.49,1,1,1,1
38,2021-05-15,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
39,2021-05-16,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
40,2021-05-17,245.18,24938180.0,246.55,246.59,243.52,0,0,-1,-1
41,2021-05-18,243.08,20167980.0,246.27,246.41,242.9,0,0,-1,-1
42,2021-05-19,243.12,25739810.0,239.31,243.23,238.6,1,1,1,-1
43,2021-05-20,246.48,21800720.0,243.96,247.95,243.86,1,1,1,1
44,2021-05-21,245.17,21863060.0,247.565,248.33,244.74,0,0,-1,0
45,2021-05-22,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
46,2021-05-23,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
47,2021-05-24,250.78,21411550.0,247.785,251.16,247.51,1,0,1,-1
48,2021-05-25,251.72,17704300.0,251.769,252.75,250.82,0,1,0,1
49,2021-05-26,251.49,17771600.0,251.43,252.94,250.75,1,0,0,0
50,2021-05-27,249.31,24426240.0,251.17,251.48,249.25,0,0,-1,-1
51,2021-05-28,249.68,18274940.0,250.995,252.08,249.56,0,1,-1,-1
52,2021-05-29,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
53,2021-05-30,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
54,2021-05-31,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
55,2021-06-01,247.4,23213310.0,251.23,251.29,246.96,0,0,-1,-1
56,2021-06-02,247.3,19406710.0,248.125,249.27,245.84,0,0,0,-1
57,2021-06-03,245.71,25307710.0,245.22,246.34,243.0,1,0,0,-1
58,2021-06-04,250.79,25281090.0,247.76,251.65,247.51,1,1,1,1
59,2021-06-05,255.75,25109805.0,256.09250000000003,258.25,254.89,0,1,0,1
60,2021-06-06,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
61,2021-06-07,253.81,23079170.0,249.98,254.09,249.81,1,0,1,-1
62,2021-06-08,252.57,22455000.0,255.16,256.01,252.51,0,0,-1,1
63,2021-06-09,253.59,17937630.0,253.81,255.53,253.21,0,1,0,-1
64,2021-06-10,257.24,24563620.0,254.29,257.46,253.67,1,1,1,1
65,2021-06-11,257.89,18999730.0,257.985,258.4868,256.61,0,1,0,1
66,2021-06-12,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
67,2021-06-13,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
68,2021-06-14,259.89,19150510.0,257.9,259.95,256.8,1,1,1,1
69,2021-06-15,258.36,18038930.0,259.775,259.99,257.68,0,0,-1,0
70,2021-06-16,257.38,27219960.0,259.4,260.58,254.42,0,0,-1,-1
71,2021-06-17,260.9,27565540.0,256.065,261.75,256.01,1,1,1,1
72,2021-06-18,259.43,37202220.0,259.63,262.3,258.75,0,0,0,1
73,2021-06-19,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
74,2021-06-20,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
75,2021-06-21,262.63,26696120.0,259.82,263.52,257.92,1,1,1,1
76,2021-06-22,265.51,24694090.0,262.72,265.79,262.4,1,1,1,1
77,2021-06-23,265.275,19518680.0,265.99,266.83,264.43,0,0,0,1
78,2021-06-24,266.69,21446870.0,266.16,267.85,265.47,1,1,0,0
79,2021-06-25,265.02,25611110.0,266.23,267.25,264.76,0,0,0,0
80,2021-06-26,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
81,2021-06-27,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
82,2021-06-28,268.72,19590020.0,266.185,268.9,265.91,1,1,1,1
83,2021-06-29,271.4,19937810.0,268.865,271.65,267.98,1,1,1,1
84,2021-06-30,270.9,21656460.0,270.69,271.3598,269.6043,1,0,0,1
85,2021-07-01,271.6,16725320.0,269.61,271.84,269.6,1,1,1,0
86,2021-07-02,277.65,26474410.0,272.82,278.0,272.5,1,1,1,1
87,2021-07-03,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
88,2021-07-04,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
89,2021-07-05,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
90,2021-07-06,277.66,31565560.0,278.03,279.3698,274.3,0,1,0,1
91,2021-07-07,279.93,23260030.0,279.4,280.6945,277.15,1,1,0,1
92,2021-07-08,277.42,24618590.0,276.9,278.73,274.87,1,0,0,-1
93,2021-07-09,277.94,23916670.0,275.72,278.05,275.32,1,1,1,0
94,2021-07-10,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
95,2021-07-11,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
96,2021-07-12,277.32,18931700.0,279.157,279.77,276.58,0,1,-1,1
97,2021-07-13,280.98,26120130.0,277.52,282.8477,277.39,1,1,1,1
98,2021-07-14,282.51,23113660.0,282.345,283.66,280.55,1,1,0,1
99,2021-07-15,281.03,22604230.0,282.0,282.51,279.83,0,0,0,0
100,2021-07-16,280.75,26186850.0,282.07,284.1,279.46,0,0,0,0
101,2021-07-17,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
102,2021-07-18,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
103,2021-07-19,277.01,32935630.0,278.934,280.37,274.45,0,1,-1,1
104,2021-07-20,279.32,26259740.0,278.03,280.97,276.26,1,1,0,0
105,2021-07-21,281.4,24364320.0,278.905,281.52,277.29,1,1,1,1
106,2021-07-22,286.14,23384060.0,283.84,286.42,283.42,1,1,1,1
107,2021-07-23,289.67,22768070.0,287.37,289.99,286.5,1,1,1,1
108,2021-07-24,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
109,2021-07-25,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
110,2021-07-26,289.05,23176070.0,289.0,289.69,286.642,1,1,0,1
111,2021-07-27,286.54,33604070.0,289.43,289.575,282.95,0,0,-1,-1
112,2021-07-28,286.22,33566850.0,288.99,290.15,283.8303,0,0,-1,-1
113,2021-07-29,286.5,18168290.0,286.235,288.618,286.08,1,1,0,-1
114,2021-07-30,284.91,20944850.0,285.17,286.66,283.91,0,0,0,0
115,2021-07-31,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
116,2021-08-01,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
117,2021-08-02,284.82,16267360.0,286.36,286.775,283.74,0,1,-1,1
118,2021-08-03,287.12,17879050.0,285.42,287.23,284.0,1,1,1,0
119,2021-08-04,286.51,16191300.0,286.22,287.5883,284.65,1,0,0,0
120,2021-08-05,289.52,13900170.0,286.88,289.63,286.1,1,1,1,1
121,2021-08-06,289.46,16589340.0,288.505,289.5,287.6238,1,0,0,1
122,2021-08-07,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
123,2021-08-08,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
124,2021-08-09,288.33,16117630.0,289.75,291.55,287.81,0,1,0,1
125,2021-08-10,286.44,18616580.0,288.8,289.25,285.2,0,0,-1,-1
126,2021-08-11,286.95,13955930.0,287.21,288.66,285.86,0,1,0,-1
127,2021-08-12,289.81,14570390.0,286.63,289.97,286.34,1,1,1,1
128,2021-08-13,292.85,18249050.0,289.48,292.9,289.3,1,1,1,1
129,2021-08-14,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
130,2021-08-15,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
131,2021-08-16,294.6,22516030.0,293.19,294.82,290.02,1,1,0,1
132,2021-08-17,293.08,20075250.0,292.39,293.43,291.08,1,0,0,0
133,2021-08-18,290.73,21812990.0,292.04,294.82,290.27,0,0,0,-1
134,2021-08-19,296.77,29850460.0,288.694,297.47,288.64,1,1,1,1
135,2021-08-20,304.36,40817650.0,299.72,305.84,298.06,1,1,1,1
136,2021-08-21,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
137,2021-08-22,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
138,2021-08-23,304.65,22830160.0,303.245,305.4,301.85,1,1,0,1
139,2021-08-24,302.62,18175770.0,305.02,305.65,302.0035,0,0,-1,0
140,2021-08-25,302.01,20006060.0,304.3,304.59,300.42,0,0,-1,-1
141,2021-08-26,299.09,17666080.0,300.99,302.429,298.95,0,0,-1,-1
142,2021-08-27,299.72,22605730.0,298.987,300.87,296.83,1,1,0,0
143,2021-08-28,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
144,2021-08-29,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
145,2021-08-30,303.59,16348070.0,301.115,304.22,301.06,1,1,1,1
146,2021-08-31,301.88,26285340.0,304.42,304.5,301.5,0,0,-1,0
147,2021-09-01,301.83,18983830.0,302.865,305.19,301.49,0,0,0,-1
148,2021-09-02,301.15,16290550.0,302.2,303.3602,300.18,0,0,0,-1
149,2021-09-03,301.14,14751610.0,300.99,302.6,300.26,1,0,0,0
150,2021-09-04,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
151,2021-09-05,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
152,2021-09-06,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
153,2021-09-07,300.18,17184080.0,301.005,301.09,298.2,0,1,0,1
154,2021-09-08,300.21,15046820.0,299.78,300.61,297.4651,1,1,0,0
155,2021-09-09,297.25,19927000.0,300.82,302.14,297.0,0,0,-1,-1
156,2021-09-10,295.71,19633360.0,298.415,299.92,295.38,0,0,-1,-1
157,2021-09-11,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
158,2021-09-12,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
159,2021-09-13,296.99,23652950.0,297.55,298.54,294.08,0,1,0,1
160,2021-09-14,299.79,21853430.0,299.56,301.39,298.1,1,1,0,1
161,2021-09-15,304.82,28356300.0,303.26,305.32,301.82,1,1,1,1
162,2021-09-16,305.22,19550820.0,303.76,305.31,300.76,1,1,0,1
163,2021-09-17,299.87,41372460.0,304.17,304.5,299.53,0,0,-1,-1
164,2021-09-18,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
165,2021-09-19,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,0
166,2021-09-20,294.3,38278660.0,296.33,298.72,289.52,0,1,-1,1
167,2021-09-21,294.8,22364100.0,295.69,297.54,294.07,0,1,0,-1
168,2021-09-22,298.58,26626340.0,296.725,300.22,294.51,1,1,1,1
169,2021-09-23,299.56,18604600.0,298.845,300.9,297.5339,1,1,0,1
170,2021-09-24,299.35,14998980.0,298.23,299.8,296.93,1,0,0,0
171,2021-09-25,255.75,25109805.0,256.09250000000003,258.25,254.89,0,0,0,-1
